species,pu,amount
5,05063,13977.5
17,05063,59504.0
18,05063,1381371.5
19,05063,17272.1
20,05063,19169.1
21,05063,199.7
4,05085,15336.2
17,05085,3834.0
18,05085,136678.5
19,05085,239368.7
20,05085,53365.8
18,18111,131141.6
20,18111,35688.9
21,18111,1814.7
4,13119,48220.5
17,13119,10050.0
18,13119,567822.7
19,13119,3478.8
20,13119,96.6
3,12051,26085.0
4,12051,25.4
17,12051,1094.3
18,12051,18501.3
19,12051,136507.2
27,12051,407.2
28,12051,25.4
4,13265,431737.0
17,13265,47392.9
18,13265,150483.0
19,13265,922.7
20,13265,1006.6
3,48245,1785.7
4,48245,33351.8
17,48245,79088.0
18,48245,576.0
19,48245,54664.6
20,48245,18317.5
28,48245,32660.5
5,30059,231.5
6,30059,2043541.5
7,30059,80256.9
9,30059,196089.2
10,30059,1304946.4
14,30059,45607.5
20,30059,771.7
22,30059,4861.7
5,08067,770041.7
6,08067,15701.6
7,08067,388567.9
9,08067,730078.2
10,08067,378.4
14,08067,520.2
20,08067,1324.2
22,08067,199107.9
24,08067,188939.7
4,48027,66635.0
17,48027,42678.0
18,48027,196743.8
19,48027,18276.5
20,48027,17634.3
3,28069,213.3
4,28069,1761732.9
5,28069,746.5
17,28069,188128.6
18,28069,676900.5
19,28069,253184.5
20,28069,13011.2
4,05019,1712788.6
17,05019,518791.7
18,05019,270141.8
19,05019,309742.7
20,05019,6965.0
5,41035,1449800.9
6,41035,119615.9
7,41035,11727882.7
8,41035,5417.4
9,41035,5057346.7
10,41035,5010648.8
11,41035,1625.2
14,41035,1841.9
15,41035,546505.9
22,41035,3900.5
24,41035,2383.6
25,41035,108.3
1,36075,131951.4
2,36075,439.1
4,36075,109.8
16,36075,3183.5
17,36075,25138.8
18,36075,80795.6
20,36075,73330.8
21,36075,3202402.3
22,36075,24590.0
4,01019,371374.7
17,01019,30954.4
18,01019,682789.9
19,01019,29706.9
20,01019,12631.3
4,48019,222698.3
17,48019,608354.2
18,48019,4724.7
19,48019,25395.4
20,48019,5996.8
5,30087,1438.6
7,30087,422747.4
20,30087,1678.3
5,35059,132522.3
7,35059,1104.7
24,35059,76.7
1,26153,856329.9
2,26153,1582450.9
18,26153,12773.7
20,26153,3378.8
21,26153,353130.0
22,26153,930499.6
1,36111,18581.8
17,36111,20480.6
18,36111,1771507.7
20,36111,51676.3
21,36111,3589809.0
4,34007,118412.5
17,34007,15488.6
18,34007,98227.4
19,34007,9892.7
20,34007,4496.7
18,17083,431214.4
19,17083,2661.8
20,17083,29048.5
21,17083,8679.8
4,51085,299387.4
17,51085,52311.1
18,51085,1694660.4
19,51085,62119.4
20,51085,11365.2
5,20199,6493.1
7,20199,3413.9
20,20199,17069.6
1,26003,584018.6
2,26003,839069.4
18,26003,2015.0
20,26003,13044.2
21,26003,1764569.6
22,26003,1102922.3
4,05049,345.7
5,05049,11667.4
17,05049,7173.3
18,05049,1310120.0
4,48215,285.8
17,48215,285.8
20,48215,571.6
28,48215,142.9
4,37155,919220.0
17,37155,35566.8
18,37155,45309.5
19,37155,1279348.6
1,26123,885784.1
2,26123,79542.4
22,26123,1506639.0
5,41049,1109.1
6,41049,559671.1
7,41049,751551.9
9,41049,448979.1
10,41049,47138.4
12,41049,42036.3
20,41049,6876.7
24,41049,221.8
1,27153,9664.8
2,27153,3434.6
17,27153,79.9
18,27153,131872.4
20,27153,8466.7
21,27153,71407.6
22,27153,236427.8
4,05083,717138.9
5,05083,214.7
17,05083,261158.4
18,05083,852065.4
19,05083,35422.2
20,05083,2790.8
1,37109,1497.0
4,37109,153891.2
17,37109,125598.0
18,37109,1049694.0
4,05091,321584.4
17,05091,120708.8
18,05091,71450.5
19,05091,79650.6
20,05091,52412.3
3,12095,296701.4
4,12095,786.5
17,12095,23071.9
18,12095,38103.6
19,12095,447630.3
27,12095,76906.4
28,12095,262.2
6,08111,237.2
7,08111,237.2
9,08111,589362.9
10,08111,237.2
14,08111,474.5
22,08111,13759.4
24,08111,79.1
5,16041,9018.3
6,16041,144242.5
7,16041,1612.2
9,16041,45343.4
10,16041,11033.6
20,16041,201.5
22,16041,121016.6
24,16041,2166.4
26,16041,83683.8
4,13045,275997.6
17,13045,75852.0
18,13045,1061927.8
19,13045,41265.1
20,13045,1694.5
5,20161,10411.4
17,20161,323.3
18,20161,114202.5
20,20161,95319.7
21,20161,41128.4
4,48413,401.4
17,48413,4014.4
19,48413,223.0
20,48413,44.6
1,51167,255.9
5,51167,1663.5
17,51167,1663.5
18,51167,1629045.3
21,51167,6014.1
1,37027,26414.2
4,37027,74188.1
17,37027,485402.4
18,37027,2254830.2
21,37027,5054.6
5,16065,1173.7
6,16065,90935.1
7,16065,558.9
9,16065,7992.5
10,16065,42533.3
14,16065,223.6
20,16065,4136.0
22,16065,57568.0
26,16065,279.5
4,18173,1776.8
17,18173,19307.9
18,18173,320771.9
19,18173,2724.4
20,18173,103883.7
21,18173,48921.3
5,21001,192.3
17,21001,15384.5
18,21001,745090.3
20,21001,10480.7
21,21001,4423.0
4,21077,516.7
5,21077,9127.9
17,21077,35220.1
18,21077,104196.3
20,21077,62087.2
21,21077,1808.4
5,21097,24942.1
17,21097,72063.3
18,21097,93719.6
20,21097,17698.5
21,21097,1344.2
1,23023,267364.2
2,23023,101966.4
17,23023,29550.8
18,23023,123507.1
21,23023,438066.0
22,23023,25762.2
5,30097,361.0
6,30097,806413.6
7,30097,135232.6
9,30097,451401.0
10,30097,113500.1
14,30097,143391.3
20,30097,3754.5
22,30097,6281.5
18,48181,772952.2
19,48181,110.9
20,48181,1035.2
18,42059,1473751.6
20,42059,19679.5
21,42059,312771.4
22,42059,663.4
5,20051,124.6
18,20051,1557.6
20,20051,1869.1
21,20051,747.7
3,01065,694.1
4,01065,992636.6
5,01065,4065.3
17,01065,41149.2
18,01065,334250.1
19,01065,361220.2
20,01065,45016.2
3,01105,6530.8
4,01105,1335289.9
5,01105,31683.4
17,01105,47216.1
18,01105,297594.0
19,01105,237316.2
20,01105,56482.9
4,01033,61735.4
17,01033,124928.5
18,01033,1014690.0
19,01033,12690.1
20,01033,79998.8
18,20151,1000.5
20,20151,1800.9
5,21017,163.4
17,21017,408.4
18,21017,3348.8
20,21017,490.1
21,21017,326.7
5,47149,371.3
17,47149,439497.8
18,47149,357260.2
19,47149,2598.9
20,47149,3063.0
21,47149,2320.5
3,13075,85416.2
4,13075,37670.1
17,13075,37077.4
18,13075,9878.5
19,13075,121374.0
20,20101,162.7
5,40059,35384.9
18,40059,8117.3
20,40059,35148.5
21,40059,19859.7
18,17147,21642.2
19,17147,113.3
20,17147,21868.9
21,17147,453.2
3,01063,1050.9
4,01063,1145260.6
5,01063,10193.6
17,01063,55487.0
18,01063,283635.4
19,01063,633476.9
20,01063,70514.8
5,16033,249.9
6,16033,655033.1
9,16033,92772.9
10,16033,195604.1
14,16033,46855.0
20,16033,187.4
22,16033,36859.3
26,16033,5497.7
18,19109,15495.4
20,19109,10877.6
21,19109,923.6
22,38013,118.2
4,37063,492088.7
5,37063,128.5
17,37063,101656.3
18,37063,601713.0
19,37063,642.6
20,37063,10795.4
5,19085,99.8
18,19085,46226.1
20,19085,8486.4
21,19085,15774.8
5,31103,34472.6
7,31103,140200.2
18,31103,21204.8
20,31103,11905.5
18,19187,108567.3
20,19187,17350.5
21,19187,12987.5
4,17151,24634.3
18,17151,1099637.9
19,17151,31573.5
20,17151,13762.8
21,17151,4741.8
1,47159,97.8
4,47159,880.1
5,47159,7823.1
17,47159,46547.5
18,47159,632791.4
20,47159,2151.4
21,47159,1271.3
1,51089,5149.2
4,51089,237078.5
17,51089,102340.7
18,51089,1164044.8
20,51089,107.3
4,51510,113.3
18,51510,7820.1
5,19101,5255.0
18,19101,197569.6
20,19101,56957.0
21,19101,5509.2
5,30049,2110.0
6,30049,3183996.3
7,30049,738782.8
9,30049,1105149.9
10,30049,1758547.8
12,30049,633.0
14,30049,233577.5
20,30049,984.7
22,30049,11745.7
26,30049,70.3
5,49013,1656810.8
6,49013,160126.5
7,49013,22263.8
9,49013,673833.5
10,49013,521082.7
14,49013,5509.0
20,49013,409.8
22,49013,341606.2
24,49013,22901.2
26,49013,1047.2
5,40003,1705.3
18,40003,3009.4
20,40003,18457.9
21,40003,1605.0
4,48119,297.6
17,48119,297.6
18,48119,27460.5
19,48119,2380.5
20,48119,26355.2
4,47169,190.3
5,47169,6754.9
17,47169,9894.5
18,47169,143374.5
21,47169,190.3
17,21193,210.5
18,21193,1334611.0
21,21193,2000.1
18,46039,1528.9
20,46039,402.3
21,46039,160.9
5,41029,3907.9
6,41029,14086892.6
7,41029,986652.2
8,41029,1439.8
9,41029,3555197.8
10,41029,20979.5
11,41029,4730.7
14,41029,20773.8
15,41029,255455.9
24,41029,2314323.7
25,41029,2468.2
26,41029,341842.0
4,48507,714.5
18,48507,31.1
19,48507,590.2
20,48507,497.0
5,31007,4670.9
7,31007,21263.7
20,31007,13567.8
5,19121,24166.6
18,19121,229095.3
20,19121,22217.7
21,19121,7990.6
3,12011,699.3
18,12011,738.2
19,12011,71427.0
27,12011,388.5
3,13279,174244.2
4,13279,181426.7
17,13279,185417.1
18,13279,39770.2
